individual_iri,content_url,annotated_as,symptom_iris
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100516,Data/PaddyDoctor/bacterial_leaf_blight/100516.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100967,Data/PaddyDoctor/bacterial_leaf_blight/100967.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101516,Data/PaddyDoctor/bacterial_leaf_blight/101516.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101676,Data/PaddyDoctor/bacterial_leaf_blight/101676.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101798,Data/PaddyDoctor/bacterial_leaf_blight/101798.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101800,Data/PaddyDoctor/bacterial_leaf_blight/101800.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_103487,Data/PaddyDoctor/bacterial_leaf_blight/103487.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_103552,Data/PaddyDoctor/bacterial_leaf_blight/103552.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104401,Data/PaddyDoctor/bacterial_leaf_blight/104401.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104438,Data/PaddyDoctor/bacterial_leaf_blight/104438.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104697,Data/PaddyDoctor/bacterial_leaf_blight/104697.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104702,Data/PaddyDoctor/bacterial_leaf_blight/104702.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_105486,Data/PaddyDoctor/bacterial_leaf_blight/105486.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_106419,Data/PaddyDoctor/bacterial_leaf_blight/106419.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_106539,Data/PaddyDoctor/bacterial_leaf_blight/106539.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_106964,Data/PaddyDoctor/bacterial_leaf_blight/106964.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_107533,Data/PaddyDoctor/bacterial_leaf_blight/107533.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_107761,Data/PaddyDoctor/bacterial_leaf_blight/107761.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_107907,Data/PaddyDoctor/bacterial_leaf_blight/107907.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108005,Data/PaddyDoctor/bacterial_leaf_blight/108005.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108056,Data/PaddyDoctor/bacterial_leaf_blight/108056.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108487,Data/PaddyDoctor/bacterial_leaf_blight/108487.jpg,Bacterial_Leaf_Blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108765,Data/PaddyDoctor/bacterial_leaf_blight/108765.jpg,Bacterial_Leaf_Blight,
