individual_iri,image_path,ground_truth_label,symptom_iris
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_102617,Data/PaddyDoctor/bacterial_leaf_blight/102617.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_109669,Data/PaddyDoctor/bacterial_leaf_blight/109669.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104092,Data/PaddyDoctor/bacterial_leaf_blight/104092.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_105008,Data/PaddyDoctor/bacterial_leaf_blight/105008.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_102038,Data/PaddyDoctor/bacterial_leaf_blight/102038.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_109289,Data/PaddyDoctor/bacterial_leaf_blight/109289.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_107064,Data/PaddyDoctor/bacterial_leaf_blight/107064.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101004,Data/PaddyDoctor/bacterial_leaf_blight/101004.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_107547,Data/PaddyDoctor/bacterial_leaf_blight/107547.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101169,Data/PaddyDoctor/bacterial_leaf_blight/101169.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_105046,Data/PaddyDoctor/bacterial_leaf_blight/105046.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_102062,Data/PaddyDoctor/bacterial_leaf_blight/102062.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108150,Data/PaddyDoctor/bacterial_leaf_blight/108150.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108974,Data/PaddyDoctor/bacterial_leaf_blight/108974.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_105426,Data/PaddyDoctor/bacterial_leaf_blight/105426.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_105851,Data/PaddyDoctor/bacterial_leaf_blight/105851.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_104271,Data/PaddyDoctor/bacterial_leaf_blight/104271.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108396,Data/PaddyDoctor/bacterial_leaf_blight/108396.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_108353,Data/PaddyDoctor/bacterial_leaf_blight/108353.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_102738,Data/PaddyDoctor/bacterial_leaf_blight/102738.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_102167,Data/PaddyDoctor/bacterial_leaf_blight/102167.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100330,Data/PaddyDoctor/bacterial_leaf_blight/100330.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_109275,Data/PaddyDoctor/bacterial_leaf_blight/109275.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_101718,Data/PaddyDoctor/bacterial_leaf_blight/101718.jpg,bacterial_leaf_blight,
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_103323,Data/PaddyDoctor/bacterial_leaf_blight/103323.jpg,bacterial_leaf_blight,
